from	to	interaction
194	1779	shm
1987	26	shm
26	1661	shm
26	1711	shm
26	1863	shm
52	1739	shm
109	52	shm
100	114	shm
109	135	shm
109	2083	shm
1844	1427	shm
107	1941	shm
95	483	shm
71	1305	shm
71	1741	shm
71	2097	shm
294	195	shm
328	1525	shm
195	1579	shm
392	993	shm
95	392	shm
34	2068	shm
195	97	shm
195	1894	shm
95	25	shm
25	1780	shm
821	1704	shm
111	1564	shm
331	1358	shm
49	2	shm
2	720	shm
2	2011	shm
49	15	shm
15	1436	shm
15	1847	shm
15	1876	shm
15	1316	shm
49	484	shm
49	894	shm
49	1715	shm
220	55	shm
55	1401	shm
55	1532	shm
55	1577	shm
55	1792	shm
220	78	shm
78	1762	shm
220	1908	shm
720	1512	shm
1908	1532	shm
1908	1762	shm
81	1453	shm
1676	1128	shm
1257	573	shm
1676	1257	shm
1676	1816	shm
1676	387	shm
1104	2121	shm
295	1104	shm
10	577	shm
1676	875	shm
1676	1169	shm
33	971	shm
811	206	shm
1809	811	shm
1964	811	shm
206	1134	shm
295	1280	shm
1280	1212	shm
1	3	shm
295	1	shm
1	1653	shm
1	1851	shm
1	573	shm
3	2035	shm
295	89	shm
89	1424	shm
760	89	shm
295	154	shm
295	545	shm
295	619	shm
295	639	shm
295	1623	shm
295	1735	shm
295	2104	shm
1676	295	shm
295	372	shm
545	1125	shm
545	1215	shm
545	1475	shm
545	1964	shm
545	2078	shm
2078	693	shm
1964	1809	shm
1996	1115	shm
1676	1115	shm
1338	2108	shm
1676	1338	shm
1676	1996	shm
2007	44	shm
760	2007	shm
1676	2108	shm
1676	63	shm
10	1458	shm
33	1301	shm
33	1360	shm
33	1536	shm
33	2034	shm
1676	33	shm
1676	760	shm
760	372	shm
1676	729	shm
10	1303	shm
10	1407	shm
10	1478	shm
10	1511	shm
10	1520	shm
1676	10	shm
10	1807	shm
10	1868	shm
1676	625	shm
891	966	shm
891	1170	shm
1676	891	shm
891	1838	shm
1676	159	shm
372	2032	shm
1420	777	shm
791	1877	shm
1877	1308	shm
1803	630	shm
11	1615	shm
11	1250	shm
11	1757	shm
11	185	shm
1223	1514	shm
287	1158	shm
287	1710	shm
541	1972	shm
1585	1386	shm
1174	1168	shm
1174	1441	shm
1441	2081	shm
6	403	shm
6	595	shm
6	1064	shm
6	1366	shm
6	1410	shm
6	1413	shm
6	1451	shm
6	1557	shm
6	1642	shm
6	1840	shm
6	1777	shm
403	1970	shm
595	1605	shm
1697	1287	shm
485	1517	shm
659	910	shm
147	1589	shm
2026	147	shm
106	975	shm
106	1828	shm
865	1053	shm
327	1346	shm
327	1425	shm
327	2048	shm
62	270	shm
270	1745	shm
1745	1767	shm
517	930	shm
930	80	shm
80	1768	shm
930	124	shm
124	1337	shm
1768	2119	shm
320	1306	shm
60	1341	shm
54	1021	shm
54	1074	shm
54	1722	shm
54	1884	shm
24	54	shm
549	1323	shm
24	549	shm
24	1575	shm
949	490	shm
949	1013	shm
743	1086	shm
743	1194	shm
151	1471	shm
816	1968	shm
914	1100	shm
480	1980	shm
354	1506	shm
354	1855	shm
445	1592	shm
289	1613	shm
367	289	shm
211	217	shm
207	1814	shm
1613	712	shm
712	2064	shm
367	29	shm
29	1144	shm
29	2059	shm
43	1664	shm
155	1082	shm
40	1373	shm
40	1552	shm
40	1670	shm
1963	40	shm
1523	375	shm
1378	1895	shm
869	1415	shm
783	2008	shm
1956	127	shm
447	1641	shm
447	1889	shm
447	1897	shm
1560	960	shm
609	1936	shm
110	68	shm
1685	68	shm
110	1231	shm
1026	2013	shm
193	1939	shm
578	2069	shm
360	1796	shm
1558	808	shm
492	2036	shm
839	1773	shm
839	1841	shm
774	1665	shm
269	1719	shm
1756	269	shm
1621	1858	shm
247	1286	shm
208	1701	shm
687	1618	shm
79	799	shm
278	1293	shm
79	1914	shm
79	2086	shm
339	1162	shm
339	1132	shm
493	1994	shm
126	1489	shm
108	1294	shm
956	2038	shm
956	2071	shm
316	1131	shm
1625	117	shm
117	1988	shm
2058	117	shm
564	1799	shm
132	1850	shm
1297	1705	shm
1297	2005	shm
1705	2005	shm
59	605	shm
59	719	shm
59	1354	shm
59	1927	shm
605	1607	shm
605	1770	shm
428	369	shm
83	1982	shm
761	1611	shm
1529	629	shm
1123	1578	shm
1123	1966	shm
119	1790	shm
919	1825	shm
917	1218	shm
744	1292	shm
597	2114	shm
2017	1986	shm
936	1671	shm
532	1352	shm
532	1601	shm
612	53	shm
53	1638	shm
53	2030	shm
122	365	shm
122	452	shm
122	1034	shm
122	1473	shm
122	204	shm
259	2053	shm
1034	1581	shm
1034	1109	shm
1473	1135	shm
204	1135	shm
204	1227	shm
236	1866	shm
46	1356	shm
46	1474	shm
399	46	shm
711	399	shm
711	1595	shm
749	4	shm
4	1059	shm
4	1309	shm
4	1361	shm
4	1362	shm
4	1482	shm
4	1526	shm
4	1546	shm
4	1698	shm
4	1699	shm
4	1755	shm
4	1924	shm
4	2027	shm
4	2084	shm
1059	1416	shm
1362	1416	shm
5	1422	shm
5	1432	shm
5	1504	shm
5	1686	shm
5	1733	shm
5	1950	shm
1122	1668	shm
315	1459	shm
1007	1599	shm
798	1444	shm
285	1555	shm
156	1646	shm
903	1065	shm
903	1537	shm
903	1718	shm
1791	1545	shm
529	266	shm
266	1165	shm
266	1617	shm
529	1371	shm
1421	964	shm
964	1991	shm
37	1084	shm
37	1503	shm
37	1793	shm
948	1324	shm
614	1079	shm
1259	1995	shm
39	1633	shm
39	1723	shm
1260	1454	shm
921	1922	shm
243	1188	shm
30	1466	shm
30	1650	shm
30	1781	shm
30	1905	shm
527	2056	shm
2107	1846	shm
499	1860	shm
840	1983	shm
665	1760	shm
665	1906	shm
406	1703	shm
870	1691	shm
487	870	shm
1492	1691	shm
487	1492	shm
487	1497	shm
795	1333	shm
1505	1885	shm
1335	853	shm
1563	133	shm
58	1350	shm
58	1541	shm
737	1569	shm
737	2003	shm
1583	1765	shm
470	1348	shm
32	1377	shm
32	1662	shm
569	232	shm
125	569	shm
569	275	shm
275	1682	shm
569	1750	shm
569	12	shm
96	22	shm
22	1405	shm
22	2001	shm
96	12	shm
61	2080	shm
12	1442	shm
12	1679	shm
12	1822	shm
212	1587	shm
212	1684	shm
120	1229	shm
120	1690	shm
396	1461	shm
996	396	shm
1461	1978	shm
996	801	shm
996	180	shm
180	2025	shm
2014	1881	shm
292	1708	shm
144	1395	shm
144	1788	shm
528	1291	shm
528	1344	shm
324	1528	shm
