from	to	interaction
523	1980	shm
396	1978	shm
253	2447	shm
36	40	shm
40	1969	shm
40	193	shm
40	71	shm
40	51	shm
51	2568	shm
51	2087	shm
1814	2679	shm
443	1882	shm
173	1603	shm
173	1771	shm
173	2219	shm
1268	2156	shm
1268	2795	shm
1204	2607	shm
2104	252	shm
252	2155	shm
14	1191	shm
14	2619	shm
1229	2200	shm
122	2599	shm
1369	2837	shm
866	2338	shm
866	2644	shm
796	1855	shm
372	2276	shm
661	2183	shm
1193	2730	shm
414	2591	shm
1100	1741	shm
822	2860	shm
1007	1794	shm
409	1812	shm
409	1778	shm
409	2277	shm
92	2195	shm
1699	1693	shm
1699	1727	shm
854	2046	shm
716	2226	shm
616	1837	shm
616	2697	shm
473	2835	shm
362	2810	shm
223	2133	shm
1316	2096	shm
902	1614	shm
1419	1802	shm
1339	2187	shm
1339	2546	shm
1347	1956	shm
155	2893	shm
1144	1893	shm
884	2079	shm
371	1909	shm
1512	1966	shm
1512	2498	shm
1200	2691	shm
304	310	shm
304	2000	shm
310	2000	shm
115	2032	shm
284	2256	shm
39	1886	shm
546	2321	shm
1056	2005	shm
18	2438	shm
819	2050	shm
1549	1810	shm
1549	1942	shm
2272	453	shm
300	45	shm
300	2557	shm
759	2493	shm
657	2019	shm
1284	2095	shm
5	1726	shm
1726	1611	shm
1726	1823	shm
1726	2129	shm
1726	2274	shm
1726	2412	shm
1726	2806	shm
654	1744	shm
318	2153	shm
318	2489	shm
318	2646	shm
2504	1758	shm
288	2884	shm
875	1601	shm
2366	1650	shm
576	1881	shm
576	1896	shm
350	2235	shm
49	2113	shm
1323	2597	shm
1233	2468	shm
1233	2896	shm
78	1808	shm
23	2210	shm
78	2077	shm
78	2214	shm
2745	508	shm
1782	250	shm
250	2808	shm
55	2041	shm
86	2290	shm
199	1948	shm
1247	2543	shm
570	2439	shm
934	2106	shm
1453	1750	shm
1453	1832	shm
1453	2098	shm
1453	2610	shm
1312	2813	shm
7	1822	shm
7	1851	shm
7	2140	shm
7	2269	shm
1189	1757	shm
290	2625	shm
682	2230	shm
682	2664	shm
682	2788	shm
2675	2850	shm
3	1558	shm
1710	1558	shm
3	2628	shm
9	2006	shm
3	621	shm
3	1259	shm
3	1472	shm
3	1535	shm
3	1624	shm
3	1634	shm
3	1644	shm
3	1667	shm
3	2147	shm
3	2192	shm
3	2306	shm
3	2322	shm
3	2390	shm
3	2501	shm
3	2518	shm
3	2579	shm
3	2606	shm
3	2667	shm
3	2894	shm
9	1108	shm
9	1538	shm
9	1777	shm
9	1792	shm
9	1990	shm
9	2108	shm
9	2167	shm
9	2583	shm
9	2755	shm
469	1846	shm
469	2411	shm
621	2539	shm
1108	1830	shm
1259	1759	shm
2105	1259	shm
1259	2426	shm
1259	2790	shm
1472	2071	shm
1472	2271	shm
1535	1960	shm
1624	2383	shm
1634	2426	shm
1644	2547	shm
1644	2790	shm
1710	2252	shm
2894	2271	shm
2518	2383	shm
2501	2547	shm
2518	2762	shm
2894	2785	shm
269	2066	shm
2799	965	shm
452	1743	shm
105	111	shm
111	1689	shm
105	75	shm
105	452	shm
105	1551	shm
452	2065	shm
452	2814	shm
337	1829	shm
2332	238	shm
