from	to	interaction
155	0	shm
213	7	shm
217	213	shm
217	7	shm
114	145	shm
137	226	shm
122	185	shm
185	191	shm
29	40	shm
36	117	shm
140	94	shm
215	94	shm
219	140	shm
219	215	shm
36	219	shm
36	139	shm
36	211	shm
54	13	shm
134	176	shm
134	168	shm
181	119	shm
223	119	shm
181	223	shm
152	106	shm
43	57	shm
2	230	shm
102	5	shm
5	186	shm
102	83	shm
102	193	shm
202	73	shm
183	132	shm
132	203	shm
204	132	shm
214	132	shm
183	204	shm
183	214	shm
183	222	shm
204	214	shm
204	222	shm
206	179	shm
47	50	shm
39	192	shm
27	22	shm
22	224	shm
130	151	shm
210	91	shm
45	218	shm
184	124	shm
182	136	shm
136	216	shm
