from	to	interaction
154	43	shm
43	302	shm
174	294	shm
344	238	shm
311	14	shm
14	341	shm
26	311	shm
283	165	shm
320	165	shm
320	283	shm
113	275	shm
79	48	shm
48	133	shm
209	58	shm
306	209	shm
82	355	shm
3	239	shm
3	287	shm
345	261	shm
218	115	shm
224	161	shm
1	6	shm
1	90	shm
1	226	shm
6	125	shm
2	108	shm
207	2	shm
2	248	shm
2	322	shm
0	2	shm
257	0	shm
259	187	shm
187	325	shm
337	187	shm
337	259	shm
298	182	shm
252	22	shm
252	315	shm
211	270	shm
211	316	shm
37	109	shm
37	198	shm
12	131	shm
253	66	shm
105	353	shm
353	191	shm
357	310	shm
177	83	shm
44	11	shm
11	300	shm
29	335	shm
77	150	shm
244	77	shm
92	276	shm
92	356	shm
228	236	shm
142	193	shm
146	31	shm
347	308	shm
242	149	shm
304	149	shm
242	304	shm
266	9	shm
9	272	shm
87	53	shm
53	266	shm
220	87	shm
358	220	shm
288	176	shm
255	225	shm
192	104	shm
319	65	shm
297	263	shm
342	141	shm
299	148	shm
145	186	shm
140	215	shm
237	56	shm
175	274	shm
194	334	shm
351	334	shm
7	303	shm
338	260	shm
338	28	shm
338	86	shm
350	86	shm
282	78	shm
282	118	shm
183	4	shm
34	61	shm
34	307	shm
307	60	shm
8	246	shm
64	268	shm
340	64	shm
309	190	shm
314	190	shm
323	190	shm
314	309	shm
254	232	shm
250	348	shm
10	278	shm
241	62	shm
106	243	shm
