from	to	interaction
305	1533	shm
1088	1496	shm
1088	1802	shm
371	1817	shm
64	2273	shm
64	1644	shm
359	1471	shm
476	1757	shm
159	1881	shm
150	1741	shm
885	532	shm
2189	2149	shm
206	2327	shm
79	1861	shm
79	2125	shm
448	2104	shm
153	1848	shm
388	2315	shm
785	1519	shm
1163	1761	shm
880	1731	shm
2205	1199	shm
1199	1654	shm
99	1934	shm
99	1620	shm
828	1966	shm
1031	1914	shm
1031	2287	shm
1247	2137	shm
1055	1594	shm
1244	1673	shm
1851	1244	shm
38	1805	shm
38	1811	shm
38	1962	shm
38	2200	shm
1805	1998	shm
231	277	shm
859	7	shm
7	2048	shm
1300	1101	shm
12	1603	shm
1912	1509	shm
958	1895	shm
242	1540	shm
819	1599	shm
215	1905	shm
100	1875	shm
104	1878	shm
87	1561	shm
1126	1618	shm
1382	1469	shm
410	1809	shm
173	4	shm
4	1692	shm
4	2127	shm
1753	1965	shm
926	1427	shm
1011	1954	shm
246	2307	shm
1396	2288	shm
77	1994	shm
212	1707	shm
739	1370	shm
739	1799	shm
739	2293	shm
356	2074	shm
657	1913	shm
1876	2220	shm
939	1680	shm
867	2265	shm
694	1602	shm
318	1841	shm
1119	1917	shm
502	2038	shm
18	1891	shm
18	2178	shm
54	2084	shm
2150	261	shm
1384	1583	shm
811	2270	shm
1331	1986	shm
1343	1470	shm
15	2031	shm
2169	353	shm
293	1982	shm
13	1598	shm
13	1554	shm
13	2105	shm
13	2257	shm
449	1563	shm
1610	574	shm
35	1678	shm
553	1362	shm
37	2065	shm
37	2267	shm
665	1579	shm
174	2249	shm
1426	1485	shm
1426	1498	shm
708	1792	shm
346	1588	shm
130	1844	shm
1919	130	shm
50	1759	shm
426	2073	shm
386	1993	shm
129	1797	shm
414	2021	shm
88	1372	shm
956	1921	shm
820	2232	shm
1061	1767	shm
775	1524	shm
331	1672	shm
1462	1973	shm
556	705	shm
1307	588	shm
1307	556	shm
556	1735	shm
738	582	shm
587	2126	shm
68	1721	shm
68	2158	shm
415	1614	shm
0	214	shm
1022	1824	shm
1022	2023	shm
469	1585	shm
26	1577	shm
221	1772	shm
2	1930	shm
1930	1514	shm
1930	1696	shm
1930	1737	shm
1930	2004	shm
1930	2148	shm
1930	2195	shm
1930	2284	shm
1930	2312	shm
1810	2212	shm
326	2251	shm
1336	1356	shm
1356	1932	shm
795	1445	shm
1048	1927	shm
431	1834	shm
431	2244	shm
313	1606	shm
117	2016	shm
780	2111	shm
637	2094	shm
108	1659	shm
1832	2067	shm
98	1525	shm
998	2222	shm
28	1999	shm
278	2272	shm
1503	2241	shm
445	1734	shm
1138	2198	shm
298	1674	shm
298	1918	shm
298	2008	shm
1107	2123	shm
766	1626	shm
1050	1910	shm
482	1636	shm
482	1863	shm
128	1838	shm
661	2295	shm
732	2237	shm
1030	2172	shm
1353	1705	shm
243	2080	shm
102	2331	shm
387	2254	shm
84	1877	shm
84	2285	shm
397	1942	shm
435	2334	shm
817	1813	shm
541	1359	shm
856	1782	shm
992	1339	shm
992	1916	shm
1	1575	shm
1	1845	shm
1	2240	shm
1	2250	shm
656	2193	shm
1398	1928	shm
1105	1990	shm
1480	2231	shm
137	1609	shm
2236	137	shm
1943	882	shm
971	1405	shm
971	1904	shm
1242	1793	shm
796	2043	shm
569	2227	shm
475	1733	shm
224	2223	shm
717	1949	shm
717	2225	shm
47	2097	shm
1958	570	shm
1361	1818	shm
538	1712	shm
538	589	shm
463	1979	shm
1041	2085	shm
1015	1687	shm
1015	2290	shm
436	2024	shm
713	1815	shm
109	1736	shm
1443	1664	shm
787	1615	shm
787	1676	shm
379	2003	shm
1010	1758	shm
195	2281	shm
43	1634	shm
43	2042	shm
442	1819	shm
417	1587	shm
29	2140	shm
260	1572	shm
443	2263	shm
179	2114	shm
46	1222	shm
46	2041	shm
115	1468	shm
115	2122	shm
649	2333	shm
1465	628	shm
1073	1516	shm
1073	1548	shm
545	2269	shm
1860	391	shm
1306	1476	shm
369	2019	shm
510	2100	shm
676	1474	shm
1207	2133	shm
660	1709	shm
1157	1529	shm
1157	1183	shm
184	1545	shm
487	1981	shm
1148	1657	shm
65	1718	shm
65	1723	shm
65	1849	shm
1432	2121	shm
48	1827	shm
48	2012	shm
48	2101	shm
307	2156	shm
136	2191	shm
24	1684	shm
1684	1840	shm
512	1806	shm
512	2051	shm
294	1408	shm
294	1763	shm
294	1854	shm
294	1903	shm
294	2282	shm
186	2252	shm
9	373	shm
9	392	shm
9	601	shm
9	1635	shm
9	1645	shm
9	1926	shm
9	2001	shm
9	2302	shm
373	2170	shm
601	1381	shm
434	194	shm
1702	152	shm
1164	1461	shm
1004	1057	shm
425	847	shm
343	1785	shm
308	1589	shm
308	2286	shm
308	2297	shm
308	2324	shm
70	1568	shm
106	1535	shm
1187	1518	shm
322	1807	shm
830	1622	shm
2159	591	shm
1409	1177	shm
337	1837	shm
1386	312	shm
312	1922	shm
947	581	shm
581	1724	shm
1386	947	shm
947	1582	shm
403	2066	shm
16	1642	shm
16	1961	shm
16	2029	shm
16	2128	shm
16	2134	shm
549	2047	shm
1867	320	shm
320	1569	shm
288	2039	shm
1487	81	shm
81	2139	shm
6	1756	shm
6	2216	shm
1330	1847	shm
157	2152	shm
157	2176	shm
619	2087	shm
1147	1800	shm
86	2063	shm
845	2259	shm
378	1591	shm
912	636	shm
912	736	shm
736	1719	shm
912	798	shm
912	846	shm
912	861	shm
912	874	shm
1052	2206	shm
598	1814	shm
438	2279	shm
826	2298	shm
259	2166	shm
22	2330	shm
60	1625	shm
432	2119	shm
264	1267	shm
264	2005	shm
590	2015	shm
554	2243	shm
302	2322	shm
1156	1385	shm
1059	1532	shm
58	1907	shm
58	2075	shm
1258	2208	shm
146	1683	shm
67	1776	shm
140	1945	shm
1159	1555	shm
1106	1507	shm
1106	1978	shm
596	1929	shm
239	1691	shm
489	1665	shm
349	1570	shm
62	2058	shm
62	1710	shm
808	2221	shm
257	1623	shm
145	1611	shm
11	1225	shm
11	1531	shm
11	1604	shm
11	1804	shm
11	1821	shm
11	1924	shm
1924	2219	shm
75	722	shm
75	2289	shm
722	1388	shm
451	1859	shm
430	1991	shm
286	2177	shm
539	1681	shm
258	1784	shm
258	2207	shm
31	1643	shm
31	1663	shm
31	1906	shm
31	2218	shm
2017	97	shm
223	1866	shm
97	1780	shm
97	1897	shm
1104	1899	shm
110	121	shm
110	1908	shm
121	1725	shm
1908	1725	shm
518	2294	shm
1261	1909	shm
1261	2306	shm
400	1826	shm
69	2230	shm
154	1649	shm
762	2164	shm
59	1661	shm
95	2072	shm
1571	95	shm
144	1682	shm
144	2310	shm
229	1551	shm
709	1689	shm
25	1884	shm
225	2321	shm
776	1985	shm
2238	2181	shm
1137	1527	shm
1060	1781	shm
1060	1957	shm
907	1786	shm
40	1713	shm
1192	1477	shm
89	1752	shm
446	1971	shm
994	2135	shm
1693	728	shm
132	2079	shm
132	2271	shm
393	1720	shm
571	1794	shm
571	2050	shm
202	1557	shm
524	1633	shm
94	1646	shm
21	1997	shm
256	2190	shm
1094	1648	shm
1094	2173	shm
160	1556	shm
160	2168	shm
978	1740	shm
2242	1475	shm
906	2278	shm
1189	1660	shm
1454	1459	shm
849	2132	shm
1410	1952	shm
490	1573	shm
563	2261	shm
5	1530	shm
5	1538	shm
5	1546	shm
5	1787	shm
5	1858	shm
5	1882	shm
72	1896	shm
72	2233	shm
639	1868	shm
833	1612	shm
1202	1774	shm
19	1486	shm
19	2154	shm
892	314	shm
314	1506	shm
176	1722	shm
620	2268	shm
1091	1593	shm
1091	2142	shm
839	1843	shm
1364	2095	shm
101	1494	shm
139	2319	shm
1254	2262	shm
1254	2308	shm
185	2292	shm
928	1880	shm
903	2044	shm
870	2217	shm
870	2332	shm
905	1959	shm
905	2255	shm
814	1839	shm
814	2088	shm
772	2183	shm
141	2182	shm
39	1607	shm
1184	2056	shm
759	1505	shm
267	2013	shm
267	2076	shm
42	1481	shm
42	1534	shm
36	2055	shm
919	2325	shm
93	1764	shm
1146	1641	shm
863	1466	shm
863	2115	shm
1193	1629	shm
1193	1650	shm
1097	1596	shm
486	2197	shm
560	1549	shm
1218	2060	shm
1270	1627	shm
336	1923	shm
3	2275	shm
76	1944	shm
697	664	shm
711	2224	shm
1217	2116	shm
494	2032	shm
370	1675	shm
1092	2007	shm
632	1679	shm
632	2035	shm
983	1745	shm
122	2006	shm
989	1871	shm
342	2165	shm
933	1898	shm
161	1856	shm
1303	1789	shm
592	1828	shm
276	2228	shm
32	1560	shm
32	1590	shm
8	1666	shm
653	1521	shm
49	2201	shm
1213	421	shm
1213	1500	shm
1213	1902	shm
674	2162	shm
658	1522	shm
658	1662	shm
658	2052	shm
658	2070	shm
997	1960	shm
763	1911	shm
1080	1698	shm
471	1489	shm
382	1995	shm
1937	526	shm
234	1640	shm
883	1879	shm
883	2054	shm
178	1766	shm
178	1768	shm
407	1769	shm
407	2317	shm
1537	389	shm
1438	2209	shm
961	1730	shm
20	1852	shm
20	1920	shm
20	2229	shm
777	1950	shm
576	1463	shm
350	1377	shm
350	1482	shm
17	2002	shm
17	2174	shm
374	1992	shm
577	1869	shm
2179	444	shm
1125	1553	shm
464	1578	shm
390	1830	shm
390	2247	shm
138	2071	shm
148	1601	shm
1419	1765	shm
368	1798	shm
171	1694	shm
171	2053	shm
91	1728	shm
91	1846	shm
691	1850	shm
183	1791	shm
398	1393	shm
51	1543	shm
51	1762	shm
948	1750	shm
2313	1078	shm
1023	1619	shm
53	2098	shm
638	1773	shm
1309	2211	shm
230	1890	shm
230	1947	shm
230	2214	shm
14	1605	shm
14	2296	shm
1021	1727	shm
197	1697	shm
90	1738	shm
90	1941	shm
685	2020	shm
683	1746	shm
612	1790	shm
2037	2033	shm
27	1770	shm
27	2283	shm
284	2130	shm
175	2153	shm
189	2188	shm
189	2311	shm
