from	to	interaction
437	18	shm
111	45	shm
304	84	shm
382	151	shm
236	168	shm
927	180	shm
62	184	shm
236	186	shm
64	195	shm
85	197	shm
111	237	shm
6	242	shm
39	253	shm
103	263	shm
11	268	shm
24	276	shm
67	306	shm
11	323	shm
168	328	shm
951	337	shm
1124	357	shm
18	367	shm
18	385	shm
18	386	shm
364	391	shm
104	398	shm
840	401	shm
516	404	shm
269	406	shm
39	412	shm
62	414	shm
42	417	shm
195	432	shm
111	437	shm
316	439	shm
215	440	shm
202	444	shm
576	452	shm
196	453	shm
131	460	shm
800	462	shm
438	463	shm
249	464	shm
137	472	shm
797	480	shm
504	483	shm
746	494	shm
28	504	shm
208	517	shm
8	525	shm
50	526	shm
50	530	shm
1121	535	shm
894	539	shm
11	541	shm
1188	542	shm
848	544	shm
12	545	shm
496	547	shm
364	550	shm
407	553	shm
16	554	shm
37	557	shm
703	572	shm
822	575	shm
655	579	shm
184	580	shm
272	584	shm
85	589	shm
259	608	shm
443	628	shm
77	636	shm
1115	638	shm
444	640	shm
94	645	shm
58	646	shm
57	650	shm
208	658	shm
337	662	shm
797	663	shm
184	664	shm
239	668	shm
158	672	shm
373	678	shm
16	686	shm
216	687	shm
241	689	shm
1040	690	shm
39	691	shm
184	692	shm
1120	696	shm
208	700	shm
115	703	shm
168	705	shm
576	711	shm
241	716	shm
439	717	shm
1158	719	shm
406	720	shm
31	723	shm
328	724	shm
341	726	shm
6	733	shm
1115	738	shm
6	741	shm
1202	742	shm
870	745	shm
189	748	shm
23	752	shm
391	753	shm
107	760	shm
104	761	shm
47	764	shm
904	765	shm
1003	770	shm
318	771	shm
14	781	shm
527	782	shm
29	789	shm
18	792	shm
515	793	shm
207	794	shm
878	796	shm
168	800	shm
7	805	shm
45	808	shm
1209	812	shm
1090	814	shm
160	815	shm
268	817	shm
360	821	shm
45	822	shm
745	823	shm
18	826	shm
334	829	shm
274	830	shm
512	832	shm
136	834	shm
259	835	shm
279	839	shm
584	841	shm
263	843	shm
874	847	shm
337	849	shm
1129	850	shm
7	854	shm
1195	855	shm
175	857	shm
724	861	shm
680	863	shm
94	867	shm
84	869	shm
1053	870	shm
107	871	shm
132	873	shm
1129	876	shm
14	880	shm
432	881	shm
433	885	shm
227	891	shm
39	894	shm
379	898	shm
79	901	shm
196	904	shm
1145	905	shm
186	911	shm
269	913	shm
29	914	shm
514	915	shm
145	929	shm
496	930	shm
94	931	shm
411	933	shm
45	934	shm
382	939	shm
208	940	shm
136	941	shm
281	942	shm
283	953	shm
341	954	shm
1152	957	shm
6	959	shm
288	961	shm
407	963	shm
47	965	shm
1040	966	shm
967	969	shm
462	970	shm
996	972	shm
727	978	shm
527	982	shm
967	987	shm
414	999	shm
183	1001	shm
496	1003	shm
283	1013	shm
517	1014	shm
249	1022	shm
241	1025	shm
1053	1027	shm
23	1031	shm
491	1039	shm
183	1040	shm
113	1044	shm
62	1052	shm
940	1055	shm
338	1060	shm
201	1063	shm
466	1065	shm
24	1066	shm
50	1072	shm
111	1074	shm
16	1077	shm
149	1078	shm
65	1079	shm
28	1080	shm
403	1082	shm
399	1083	shm
195	1087	shm
432	1092	shm
561	1093	shm
149	1096	shm
109	1099	shm
1076	1107	shm
121	1111	shm
625	1117	shm
89	1118	shm
328	1119	shm
197	1121	shm
1136	1125	shm
216	1126	shm
29	1127	shm
227	1128	shm
104	1130	shm
439	1133	shm
444	1136	shm
272	1138	shm
323	1142	shm
357	1143	shm
491	1146	shm
149	1147	shm
277	1155	shm
407	1158	shm
384	1163	shm
45	1164	shm
504	1165	shm
151	1169	shm
1053	1173	shm
482	1175	shm
196	1179	shm
928	1181	shm
85	1183	shm
955	1184	shm
328	1188	shm
237	1190	shm
82	1191	shm
1195	1193	shm
183	1194	shm
589	1198	shm
1178	1199	shm
111	1202	shm
7	1204	shm
242	1214	shm
79	1216	shm
45	1219	shm
855	1223	shm
464	1224	shm
